home.team,away.team,home.wins,away.wins
SYD,NEW,2,0
SYD,MAN,1,0
SYD,NQL,0,0
SYD,CRO,1,0
SYD,WST,1,1
SYD,SOU,0,1
SYD,NZL,1,1
SYD,CBY,2,0
SYD,MEL,0,0
SYD,PEN,1,0
SYD,PAR,0,0
SYD,GCT,1,0
SYD,CAN,0,0
SYD,SGI,0,1
SOU,BRO,0,1
SOU,NEW,1,0
SOU,MAN,1,0
SOU,NQL,1,0
SOU,CRO,1,0
SOU,WST,0,0
SOU,SYD,1,0
SOU,NZL,1,1
SOU,CBY,1,0
SOU,MEL,0,0
SOU,PEN,0,1
SOU,PAR,1,0
SOU,GCT,1,0
SOU,CAN,1,0
SOU,SGI,1,1
NZL,BRO,0,1
NZL,NEW,0,0
NZL,MAN,1,0
NZL,NQL,2,0
NZL,CRO,0,0
NZL,WST,1,0
NZL,SYD,1,1
NZL,SOU,1,1
NZL,CBY,0,0
NZL,MEL,0,1
NZL,PEN,0,0
NZL,PAR,1,0
NZL,GCT,1,0
NZL,CAN,1,0
NZL,SGI,1,0
CBY,BRO,0,1
CBY,NEW,0,0
CBY,MAN,0,0
CBY,NQL,1,0
CBY,CRO,0,1
CBY,WST,0,1
CBY,SYD,0,2
CBY,SOU,0,1
CBY,NZL,0,0
CBY,MEL,0,1
CBY,PEN,1,1
CBY,PAR,1,0
CBY,GCT,0,1
CBY,CAN,0,1
CBY,SGI,0,1
MEL,BRO,2,0
MEL,NEW,2,0
MEL,MAN,0,1
MEL,NQL,2,0
MEL,CRO,0,1
MEL,WST,0,2
MEL,SYD,0,0
MEL,SOU,0,0
MEL,NZL,1,0
MEL,CBY,1,0
MEL,PEN,0,0
MEL,PAR,0,0
MEL,GCT,1,0
MEL,CAN,0,0
MEL,SGI,0,1
PEN,BRO,0,0
PEN,NEW,1,0
PEN,MAN,0,0
PEN,NQL,1,1
PEN,CRO,0,1
PEN,WST,1,0
PEN,SYD,0,1
PEN,SOU,1,0
PEN,NZL,0,0
PEN,CBY,1,1
PEN,MEL,0,0
PEN,PAR,2,0
PEN,GCT,1,0
PEN,CAN,1,0
PEN,SGI,1,0
PAR,BRO,0,1
PAR,NEW,0,1
PAR,MAN,1,1
PAR,NQL,1,0
PAR,CRO,0,2
PAR,WST,1,1
PAR,SYD,0,0
PAR,SOU,0,1
PAR,NZL,0,1
PAR,CBY,0,1
PAR,MEL,0,0
PAR,PEN,0,2
PAR,GCT,0,0
PAR,CAN,0,1
PAR,SGI,0,0
GCT,BRO,1,0
GCT,NEW,1,0
GCT,MAN,1,0
GCT,NQL,0,1
GCT,CRO,0,1
GCT,WST,0,0
GCT,SYD,0,1
